καί,"and, even, also, namely"
ὁρκωμοσίας,"the taking of an oath, an oath"
διελέγετο,"I converse, address, preach, lecture"
μεσίτης,"a mediator, go-between"
παράγων,"I pass by, depart, pass away"
οἶνος,wine
βάτου,"['a thorn bush or bramble', 'a bath, a liquid measure between eight and nine gallons']"
ἔρις,"contention, strife"
ἐστάθη,"I cause to stand, stand"
χειμῶνος,"a tempest, the rainy season"
Γαλιλαῖος,a Galilean
φάγῃ,I eat
ἁπλότητι,"simplicity, sincerity, purity"
διαλογίζεσθε,"I reason, debate, consider"
ἔδησε(ν),I bind
σύνδουλος,"a fellow servant, colleague"
Ἀπολλῶ,Apollos
παραπτώματι,"a falling away, sin"
λῃστῶν,"a robber, brigand, bandit"
ἀσφαλές,"safe, reliable, trustworthy"
ἀσελγείαις,"wantonness, lewdness"
παρεδόθη,"I hand over, deliver, betray"
εἴσελθε,"I go in, come in, enter"
δημοσίᾳ,"public, publicly"
πίνειν,"I drink, imbibe"
εὐηγγελισάμην,"I bring good news, preach good tidings"
ἀνατολῶν,"rising of the sun, the East"
μακροθυμίας,"patience, forbearance"
λίθοι,a stone
φανερά,"apparent, clear, visible, manifest, clearly"
εἴπῃς,"I say, speak"
θυγατρός,a daughter
πηγάς,"a fountain, spring, well"
μακροθυμίαν,"patience, forbearance"
ἀπέλυσαν,"I release, let go, send away, divorce"
αὑτόν,"himself, herself, itself"
ἀφίενται,"I send away, release, remit, forgive, permit"
εἰκόνι,"an image, likeness, bust"
πλανώμενοι,"I lead astray, deceive"
ἑτέρους,"another, different"
ὑπομονή,"endurance, steadfastness"
θερισμοῦ,"reaping, harvest"
μακροθυμίᾳ,"patience, forbearance"
εὐλογία,"adulation, praise, blessing"
τέρασι(ν),"a wonder, portent"
πράσσω,"I do, fare, require"
θείς,"I put, place"
μεγάλους,"large, great"
εὐδοκίαν,"good-will, favor"
ἀποδοῦναι,"I give back, return, sell"
ἄξιοι,"worthy, worthy of, deserving"
ἐπιγνῶναι,"I come to know, discern, recognize"
θάρσει,be of good cheer
δίκτυον,a fishing-net
ποιμανεῖ,"I shepherd, tend"
πεντακισχίλιοι,five thousand
διελθεῖν,"I pass through, spread a report"
μέλι,honey
πλουσίους,rich
Μᾶρκον,Mark
ἐπουρανίου,"heavenly, celestial"
γινόμενα,"I come into being, am born"
ἀνοιγήσεται,I open
ἔχωμεν,"I have, hold, possess"
καυχάσθω,"I boast, glory"
ἔνδυμα,"a garment, raiment"
χρήματα,"money, riches"
μέτρῳ,"a measure, measuring rod"
θεῖναι,"I put, place"
δένδρα,a tree
ὀλίγῳ,"small, brief, few, soon"
συνήγαγον,I gather together
ἐνενήκοντα,ninety
καλέσαι,"I call, invite, name"
τιμίῳ,"of great price, precious, honored"
μεριμνήσητε,"I am anxious, distracted"
γενόμενον,"I come into being, am born"
καθό,"as, according as"
δύνῃ,"I am powerful, am able"
τοσοῦτον,so great
κεφαλῇ,the head
διελθόντες,"I pass through, spread a report"
ἀπολοῦνται,"I destroy, lose, am perishing"
φρονοῦντες,"I think, judge, observe"
θρόνους,"a throne, seat"
ἐσθῆτι,"clothing, raiment"
ζήσομεν,I live
ζῶντας,I live
ἐκπορευομένου,"I journey out, come forth"
παθήματα,"suffering, passion"
οἴνῳ,wine
σκηνάς,"a tent, tabernacle"
ὅλος,"all, the whole, entire"
πρώτῳ,"first, before"
ἐπιθυμίᾳ,"desire, eagerness for, inordinate desire, lust"
ἐργάται,"a field-laborer, workman"
ἐπίβλημα,a patch on a garment
ἐπιγραφή,"an inscription, title"
ἑτοιμάσαι,"I make ready, prepare"
εὐθείας,"straight, immediately"
ἥ,"who, which, what, that"
γεγεννημένος,"I beget, bring forth, give birth to"
ὄντι,"I am, exist"
στολάς,a long robe
ἕκτος,sixth
ἐρχομένῳ,"I come, go"
ἐπιθέσεως,laying on
φάγε,I eat
καταπέτασμα,"a veil, curtain"
ἐγίνωσκε(ν),"I come to know, learn, realize"
Ἅβελ,Abel
δεξιάν,"on the right hand, right hand, right"
ἀσπασμούς,"a greeting, salutation"
φρονεῖτε,"I think, judge, observe"
ὁμοῦ,together
ἀκοάς,"hearing, faculty of hearing, ear"
ἐρεῖς,"I say, speak"
πλάτος,breadth
ὑγιῆ,"sound, whole, wholesome"
ποιοῦμεν,"I do, make"
γλῶσσαι,"the tongue, a language, nation"
γινόμενον,"I come into being, am born"
ἐβασίλευσε(ν),"I rule, reign, reign over"
πλουσίως,"richly, abundantly"
ἑτέρων,"another, different"
ὑψίστοις,"highest, most high, the heights"
ὅπλα,"an instrument, arms, weapons"
ἕξεις,"I have, hold, possess"
ἐβάπτισε(ν),"I dip, submerge, baptize"
Τύρῳ,Tyre
ἐμάθετε,"I learn, ascertain"
χιλιάρχῳ,a military tribune
βύσσινον,"of fine linen, cotton"
παραδοῖ,"I hand over, deliver, betray"
πιστευόντων,"I believe, have faith in"
ἐμοῦ,mine
ἀπειθείας,"willful unbelief, obstinacy, disobedience"
περιποίησιν,"obtaining, possessing, possession"
νύκτας,"the night, night-time"
χρυσόν,anything made of gold
μόνοι,"only, solitary, desolate"
ἀστήρ,a star
ἀνομίας,"lawlessness, iniquity"
ὀμόσῃ,"I swear, take an oath"
παρακάλει,"I summon, entreat, admonish, comfort"
κλέπται,a thief
κοιλία,"belly, womb, the inner man"
θυγατέρα,a daughter
Τίτον,Titus
Μωϋσῆν,Moses
θέλῃς,"I will, wish, desire"
ἀνέμων,the wind
ἔσεσθαι,"I am, exist"
ἀνέστησε(ν),"I raise up, set up, rise from"
πιστοῖς,"trustworthy, faithful, believing"
ἐνιαυτοῦ,a year
προσδοκῶμεν,"I expect, await"
ἐσώθη,"I save, heal"
ποῖον,of what sort
θεωρῶν,"I behold, look at, experience"
ἀποστέλλει,"I send forth, send, send away, dismiss"
τύπτειν,"I beat, strike, wound, inflict punishment"
πορφυροῦν,purple
λήμψονται,"I receive, take"
Ἁριμαθαίας,Arimathea
περιστεράς,a dove
ἀστραπαί,"a flash of lightning, brightness, luster"
γλυκύ,sweet
ἅπαν,"all, the whole"
ἀρχαίων,"original, primitive, ancient"
φοβηθῆτε,"I fear, am terrified"
ἐγνώκατε,"I come to know, learn, realize"
γλώσσης,"the tongue, a language, nation"
τελειῶσαι,"I complete, accomplish, make perfect"
ἀκουσθῇ,"I hear, listen"
πίνακι,"a plate, platter"
ᾔδειτε,"I know, remember"
ᾅδου,Hades
ἀρέσῃ,"I please, serve"
παραβολάς,"a parable, comparison"
μαρτυροῦμεν,"I witness, testify"
λυχνίαν,a lamp-stand
σημείοις,"a sign, miracle, indication"
ἰσχύει,"I am strong, able"
ἀρχαῖς,"ruler, beginning"
στῆναι,"I cause to stand, stand"
ἕνεκα,for the sake of
κράζοντες,"I cry aloud, shriek"
κακίας,"evil, wickedness, malice"
κόπους,"trouble, toil, labor"
βρῶσις,"eating, food, a meal, rust"
δυνατοί,"powerful, able, possible"
σοφούς,wise
θάψαι,I bury
γενομένην,"I come into being, am born"
κρυπτόν,"hidden, secret"
δείξει,"I point out, show"
παρθένοι,a virgin
ἑώρακας,"I see, look upon, experience"
ἀγαπητῷ,"loved, beloved"
κατακρινοῦσι(ν),I condemn
ἀπεδοκίμασαν,"I reject after testing, I disqualify"
παρεγένετο,"I appear, come, arrive at"
Σαῦλον,"Saul, the apostle"
ἐπιστολῶν,"a letter, dispatch, epistle"
προσεκύνει,I worship
περιστεράν,a dove
φημί,I say
χιτῶνα,"a tunic, garment, undergarment"
ἀσθένειαν,"want of strength, weakness, illness"
ἐνδύσησθε,"I put on, clothe"
ἔπεσα,"I fall, fall under"
ὑπάρχουσι(ν),"I am, exist, am in possession"
γεννήματα,"offspring, child, fruit"
κιβωτόν,an ark
ἐσόμεθα,"I am, exist"
ξένοι,"new, novel, a foreigner"
Ζαχαρίας,Zechariah
ἀληθινοί,"true, real, genuine"
πιστεύσωσι(ν),"I believe, have faith in"
ἀντιστῆναι,"I take a stand against, oppose, resist"
καλοῦντος,"I call, invite, name"
θέλητε,"I will, wish, desire"
δηναρίου,a denarius
δεχόμενος,"I take, receive, accept, welcome"
ἀσθενείαις,"want of strength, weakness, illness"
ὀξύ,"sharp, swift, eager"
ἔζησε(ν),I live
ζήσωμεν,I live
βεβαίαν,"firm, steadfast, enduring"
ἐσθιόντων,I eat
φαίνεται,"I shine, appear, seem"
βαστάσαι,"I carry, carry away, bear"
περίχωρον,neighboring
ἀπιστίαν,"unbelief, unfaithfulness, distrust"
λαληθήσεται,"I speak, say"
ὀψέ,"late, in the evening"
ἔλθωσι(ν),"I come, go"
αὐλῆς,"court-yard, fore-court, palace, house"
γραφαῖς,"a writing, passage of scripture, the scriptures"
ἀφόβως,fearlessly
Ναζωραίου,Nazarene
σκάνδαλα,"a snare, stumbling-block"
ἑστηκότων,"I cause to stand, stand"
ζῆλον,"eagerness, zeal, rivalry"
μισούμενοι,"I hate, detest"
λαλήσει,"I speak, say"
κάμηλον,a camel
ἔχε,"I have, hold, possess"
χωλοί,"lame, deprived of a foot"
κἀκεῖνα,"and he, she, it, and that"
προσέχειν,"I pay attention to, devote myself to"
ἐγερθήσονται,"I wake, arouse, raise up"
θυρῶν,"a door, opportunity"
πορνείᾳ,"fornication, idolatry"
δοκιμάζειν,"I put to the test, prove, examine"
δέξασθε,"I take, receive, accept, welcome"
ζῷον,an animal
αἰτούμενοι,"I ask, request, beg, petition"
ἀμπέλου,a vine
ἰάσατο,I heal
πάσχειν,"I am acted upon, suffer"
κόλπον,"bosom, bosom of a garment, a bay, gulf"
ἐπιδώσει,"I hand in, give up, give way"
ὅλως,"wholly, altogether, not at all"
διακονῶν,"I wait at table, serve"
ἀρχάς,"ruler, beginning"
εἰρημένον,"I say, speak"
σπαρείς,"I sow, spread, scatter"
μαρτυρῶν,"I witness, testify"
Κορίνθῳ,Corinth
Λώτ,Lot
παρακαλοῦντες,"I summon, entreat, admonish, comfort"
ἐπέβαλον,"I throw upon, lay, strike upon"
σπήλαιον,"a cave, den"
Βαρναβᾶ,Barnabas
ἀσθενῶν,"I am weak, sick"
ἀναστήσω,"I raise up, set up, rise from"
ἐπιστάμενος,"I know, understand"
Σιδῶνι,Sidon
ἀποκτείνωμεν,"I put to death, kill"
σταθῆναι,"I cause to stand, stand"
φίλοι,"friendly, a friend"
ἀστέρα,a star
μέλλοντες,I am about to
δεξιᾶς,"on the right hand, right hand, right"
καλάμῳ,"a reed, reed-pen"
παραιτοῦ,"I make excuse, refuse, reject"
ὄφις,a serpent
νηστεύουσι(ν),I fast
ἐρρύσατο,I rescue
παιδίων,"a little child, an infant"
εἶπας,"I say, speak"
Σαμαριτῶν,a Samaritan
ἐνδυσάμενοι,"I put on, clothe"
τάχιον,more swiftly
συνήχθη,I gather together
πιάσαι,I lay hold of
ἕτερα,"another, different"
ἠνεῴχθησαν,I open
πρόθεσιν,"the show-bread, predetermination"
ὄψεται,"I see, look upon, experience"
γραφήν,"a writing, passage of scripture, the scriptures"
χρυσίον,a golden ornament
ἀνέπεσε(ν),"I lie down, recline, fall back upon"
ποιήσωσι(ν),"I do, make"
ὄφελον,O that! I wish! Would that!
ἐθεώρουν,"I behold, look at, experience"
διαβόλῳ,"slanderous, the Slanderer, the Devil"
βάλλουσι(ν),"I cast, throw, rush, put, place, drop"
ἔχωσι(ν),"I have, hold, possess"
Ἀντιοχείᾳ,Antioch
δηναρίων,a denarius
λαλεῖς,"I speak, say"
ἐργασίαν,"working, activity, trade, performance"
ἀκολουθοῦντες,"I accompany, attend, follow"
κρίνεις,"I judge, decide, think good"
ἐλαχίστων,"least, smallest, very little"
ζύμῃ,"leaven, ferment"
ἐπιστολή,"a letter, dispatch, epistle"
βλασφημία,"abusive or scurrilous language, blasphemy"
τηρήσῃ,"I keep, guard, observe"
ἐσταυρωμένον,I crucify
ἐπιθυμία,"desire, eagerness for, inordinate desire, lust"
αὑτούς,"himself, herself, itself"
ἀσθενοῦντας,"I am weak, sick"
ἀγαπήσει,I love
λαοί,"a people, the crowd"
περισσεύητε,"I exceed, am left over"
Σιλᾶς,Silas
καθημένοις,"I sit, am seated"
ἀπολέσωσι(ν),"I destroy, lose, am perishing"
σπούδασον,I hasten
ἄνεσιν,"relief, remission, indulgence, freedom, rest"
γένωνται,"I come into being, am born"
σκηνή,"a tent, tabernacle"
λευκόν,"white, bright"
ἅπαντας,"all, the whole"
θριξί(ν),a hair
βαπτιστής,"the baptizer, the Baptist"
ἐπροφήτευσε(ν),"I foretell, prophesy"
κατῆλθον,I come down
παρέλαβε(ν),"I take, receive"
νεότητος,"youth, youthfulness"
χαίρων,"I rejoice, am glad"
γνωσθήσεται,"I come to know, learn, realize"
κλίνης,"a couch, bed, mat, bier"
πιστῷ,"trustworthy, faithful, believing"
πιστεύοντας,"I believe, have faith in"
ἀποκρίνῃ,"I answer, reply"
κακῶν,"bad, evil"
διαφέρει,"I carry through, differ, surpass, excel"
ἔτεκε(ν),"I bear, bring forth, produce"
ἀσκοί,a wine-skin
ὑποταγῇ,"subjection, submission"
πανουργίᾳ,"cunning, craftiness"
ἐπερίσσευσε(ν),"I exceed, am left over"
ὀρθῶς,rightly
καρποῦ,"fruit, result, gain"
σκότει,darkness
ὁμοιώσω,"I make like, liken, compare"
θησαυροῦ,"a treasure, store"
παραδούς,"I hand over, deliver, betray"
οἰκοδεσπότῃ,a head of a household
πιστεύω,"I believe, have faith in"
γεγεννημένον,"I beget, bring forth, give birth to"
ἥλιον,"the sun, sunlight"
ψωμίον,"a bit, morsel"
πηγή,"a fountain, spring, well"
δουλείας,"slavery, bondage"
δένδρων,a tree
πλούσιοι,rich
ἐπιστάς,"I stand by, am urgent, befall one, impend"
ἐδέξασθε,"I take, receive, accept, welcome"
ἐπίτρεψον,"I allow, permit"
ἀληθῆ,"unconcealed, true"
πειραζόμενος,"I try, tempt, test"
θεάσασθαι,"I see, behold, contemplate, visit"
φωτεινόν,"bright, luminous, full of light"
ζητήσετε,"I seek, search for, desire"
ἐκρύβη,"I hide, conceal, lay up"
ἑστήκατε,"I cause to stand, stand"
